"Anastatoodera","zapiolai","!","Blanchard","Anastatoodera","zapiolai","","Blanchard","",""
"Arachnophaga","matritensis","","(Bolivar y Pieltain)","Arachnophaga","matritensis","","(Bolivar y Pieltain)","1934","1934"
"Arachnophaga","matritensis","","(Bolivar y Pieltain)","Mercetina","matritensis","","Bolivar y Pieltain","1934","1934"
"Arachnophaga","nocua","","Gahan","Arachnophaga","nocua","","Gahan","1943","1943"
"Arachnophaga","opaca","","Gahan","Arachnophaga","opaca","","Gahan","1943","1943"
"Arachnophaga","picardi","","(Bernard)","Anastatus","picardi","","Bernard","1936","1936"
"Arachnophaga","picardi","","(Bernard)","Arachnophaga","picardi","","(Bernard)","1936","1936"
"Arachnophaga","picardi","","(Bernard)","Mercetina","picardi","","(Bernard)","1936","1936"
"Arachnophaga","picea","","(Riley)","Arachnophaga","picea","","(Riley)","1892","1892"
"Arachnophaga","picea","","(Riley)","Eupelmus","piceus","","Riley","1892","1892"
"Arachnophaga","platycephala","","(Risbec)","Arachnophaga","platycephala","","(Risbec)","1952","1952"
"Arachnophaga","platycephala","","(Risbec)","Brasema","platycephala","","Risbec","1952","1952"
"Arachnophaga","proximus","","(Costa Lima)","Encyrtarpis","proximus","","Costa Lima","1919","1919"
"Arachnophaga","proximus","","(Costa Lima)","Encyrtaspis","proximus","","Costa Lima","1919","1919"
"Arachnophaga","rhadinocnema","","Gibson","Arachnophaga","rhadinocnema","","Gibson","1995","1995"
"Arachnophaga","scutata","","Gahan","Arachnophaga","scutata","","Gahan","1943","1943"
"Arachnophaga","semirufa","","(Gahan)","Encyrtaspis","semirufa","","Gahan","1927","1927"
"Arachnophaga","semirufa","","(Gahan)","Encyrtaspis","semirufus","","Gahan","1927","1927"
"Archaeopelma","tropeotergum","","Gibson","Archaeopelma","tropeotergum","","Gibson","1989","1989"
"Argaleostatus","testaceus","","(Cameron)","Argaleostatus","testaceus","","(Cameron)","1884","1884"
"Argaleostatus","testaceus","","(Cameron)","Eupelmus","testaceus","","Cameron","1884","1884"
"Aspidopleura","baltica","","Gibson","Aspidopleura","baltica","","Gibson","2009","2009"
"Australoodera","albolata","","Gibson","Australoodera","albolata","","Gibson","2004","2004"
"Australoodera","bicinctipilum","","(Girault)","Australoodera","bicinctipilum","","(Girault)","1923","1923"
"Australoodera","bicinctipilum","","(Girault)","Eupelmus","bicinctipilum","","Girault","1923","1923"
"Australoodera","narendrani","","Gibson","Australoodera","narendrani","","Gibson","2004","2004"
"Australoodera","varicornis","","Girault","Australoodera","varicornis","","Girault","1922","1922"
"Balcha","anemeta","","(Walker)","Balcha","anemeta","","(Walker)","1846","1846"
"Balcha","anemeta","","(Walker)","Calosota","anemetus","","(Walker)","1846","1846"
"Balcha","anemeta","","(Walker)","Calosoter","anemetus","","Walker","1846","1846"
"Balcha","camptogastra","","Gibson","Balcha","camptogastra","","Gibson","2005","2005"
"Balcha","cylindrica","","Walker","Balcha","cylindrica","","Walker","1862","1862"
"Balcha","cylindrica","","Walker","Calosota","rugosopunctata","","Hedqvist","1862","1970"
"Balcha","dictyota","","Gibson","Balcha","dictyota","","Gibson","2005","2005"
"Balcha","elegans","","(Masi)","Balcha","elegans","","(Masi)","1927","1927"
"Balcha","elegans","","(Masi)","Sauteria","elegans","","Masi","1927","1927"
"Balcha","enoptra","","Gibson","Balcha","enoptra","","Gibson","2005","2005"
"Balcha","eximia","","(Masi)","Balcha","eximia","","(Masi)","1927","1927"
"Balcha","eximia","","(Masi)","Sauteria","eximia","","Masi","1927","1927"
"Balcha","eximiassita","","Gibson","Balcha","eximiassita","","Gibson","2005","2005"
"Balcha","indica","","(Mani & Kaul)","Balcha","indica","","(Mani & Kaul)","1973","1973"
"Balcha","indica","","(Mani & Kaul)","Thaumasura","indica","","Mani & Kaul","1973","1973"
"Balcha","laciniosa","","Gibson","Balcha","laciniosa","","Gibson","2005","2005"
"Balcha","levicollis","","(Cameron)","Balcha","levicollis","","(Cameron)","1908","1908"
"Balcha","levicollis","","(Cameron)","Elemba","levicollis","","Cameron","1908","1908"
"Balcha","punctiscutum","","Gibson","Balcha","punctiscutum","","Gibson","2005","2005"
"Balcha","reburra","","Gibson","Balcha","reburra","","Gibson","2005","2005"
"Balcha","reticulata","","(Nikol'skaya)","Balcha","reticulata","","(Nikol'skaya)","1952","1952"
"Balcha","reticulata","","(Nikol'skaya)","Calosota","reticulata","","Nikol'skaya","1952","1952"
"Balcha","reticulata","","(Nikol'skaya)","Sauteria","reticulata","","(Nikol'skaya)","1952","1952"
"Balcha","reticulifrons","","Gibson","Balcha","reticulifrons","","Gibson","2005","2005"
"Balcha","splendida","","(Girault)","Balcha","splendida","","(Girault)","1927","1927"
"Balcha","splendida","","(Girault)","Calosota","splendida","","Girault","1927","1927"
"Brasema","acauda","","(Ashmead)","Brasema","acauda","","(Ashmead)","1904","1904"
"Brasema","acauda","","(Ashmead)","Eupelmus","acaudus","","Ashmead","1904","1904"
"Brasema","alasorae","","Risbec","Brasema","alasorae","","Risbec","1956","1956"
"Brasema","allynii","","(French)","Brasema","allynii","","(French)","1882","1882"
"Brasema","allynii","","(French)","Eupelmus","allynii","","(French)","1882","1882"
"Brasema","allynii","","(French)","Isosoma","allynii","","French","1882","1882"
"Brasema","andropogonae","","Risbec","Brasema","andropogonae","","Risbec","1956","1956"
"Brasema","antiphonis","","(Girault)","Brasema","antiphonis","","(Girault)","1922","1922"
"Brasema","antiphonis","","(Girault)","Eupelmus","antiphonis","","Girault","1922","1922"
"Brasema","aprilis","","(Ashmead)","Brasema","aprilis","","(Ashmead)","1904","1904"
"Brasema","aprilis","","(Ashmead)","Eupelmus","aprilis","","Ashmead","1904","1904"
"Brasema","aurata","","(Ashmead)","Brasema","aurata","","(Ashmead)","1886","1886"
"Brasema","aurata","","(Ashmead)","Eupelmus","auratus","","Ashmead","1886","1886"
"Brasema","barda","","(Girault)","Brasema","barda","","(Girault)","1917","1917"
"Brasema","barda","","(Girault)","Eupelmus","bardus","","Girault","1917","1917"
"Brasema","basicuprea","","(Walker)","Brasema","basicuprea","","(Walker)","1852","1852"
"Brasema","basicuprea","","(Walker)","Eupelmus","basicupreus","","Walker","1852","1852"
"Brasema","brevicauda","","(Crawford)","Brasema","brevicauda","","(Crawford)","1908","1908"
"Brasema","brevicauda","","(Crawford)","Cerambycobius","brevicauda","","Crawford","1908","1908"
"Brasema","brevicauda","","(Crawford)","Eupelmus","brevicauda","","(Crawford)","1908","1908"
"Brasema","brevicauda","","(Crawford)","Eupelmus","brevicaudus","","(Crawford)","1908","1908"
"Brasema","brevispina","","Cameron","Brasema","brevispina","","Cameron","1884","1884"
"Brasema","bruchivora","","(Crawford)","Brasema","bruchivora","","(Crawford)","1908","1908"
"Brasema","bruchivora","","(Crawford)","Cerambycobius","bruchivorus","","Crawford","1908","1908"
"Brasema","bruchivora","","(Crawford)","Eupelmus","bruchivorus","","(Crawford)","1908","1908"
"Brasema","cerambycoboidea","","(Girault)","Brasema","cerambycoboidea","","(Girault)","1917","1917"
"Brasema","cerambycoboidea","","(Girault)","Eupelmus","cerambycoboideus","","Girault","1917","1917"
"Brasema","chapadae","","(Ashmead)","Brasema","chapadae","","(Ashmead)","1904","1904"
"Brasema","chapadae","","(Ashmead)","Eupelmus","chapadae","","Ashmead","1904","1904"
"Brasema","cleri","","(Ashmead)","Cerambycobius","cleri","","(Ashmead)","1894","1894"
"Brasema","cleri","","(Ashmead)","Eupelmus","cleri","","Ashmead","1894","1894"
"Brasema","coccidis","","(Girault)","Brasema","coccidis","","(Girault)","1917","1916"
"Brasema","coccidis","","(Girault)","Eupelmus","coccidis","","Girault","1917","1916"
"Brasema","corumbae","","(Ashmead)","Brasema","corumbae","","(Ashmead)","1904","1904"
"Brasema","corumbae","","(Ashmead)","Eupelmus","corumbae","","Ashmead","1904","1904"
"Brasema","cyanea","","(Ashmead)","Brasema","cyanea","","(Ashmead)","1904","1904"
"Brasema","cyanea","","(Ashmead)","Ischnopsis","cyanea","","Ashmead","1904","1904"
"Brasema","cyanea","","(Ashmead)","Zaischnopsis","cyanea","","(Ashmead)","1904","1904"
"Brasema","dryophantae","","(Ashmead)","Brasema","dryophantae","","(Ashmead)","1886","1886"
"Brasema","dryophantae","","(Ashmead)","Eupelmus","dryophantae","","Ashmead","1886","1886"
"Brasema","fantsiliae","","Risbec","Brasema","fantsiliae","","Risbec","1956","1956"
"Brasema","flavovariegata","","(Ashmead)","Brasema","flavovariegata","","(Ashmead)","1888","1888"
"Brasema","flavovariegata","","(Ashmead)","Eupelmus","flavovariegatus","","Ashmead","1888","1888"
"Brasema","fonteia","","(Walker)","Brasema","fonteia","","(Walker)","1847","1847"
"Brasema","fonteia","","(Walker)","Eupelmus","fonteia","","Walker","1847","1847"
"Brasema","hetricki","","(Burks)","Brasema","hetricki","","(Burks)","1964","1964"
"Brasema","hetricki","","(Burks)","Phlebopenes","hetricki","","Burks","1964","1964"
"Brasema","homeri","","(Girault)","Brasema","homeri","","(Girault)","1922","1922"
"Brasema","homeri","","(Girault)","Eupelmus","homeri","","Girault","1922","1922"
"Brasema","incredibilis","","(Girault)","Brasema","incredibilis","","(Girault)","1926","1926"
"Brasema","incredibilis","","(Girault)","Eupelmus","incredibilis","","Girault","1926","1926"
"Brasema","inyoensis","","(Girault)","Brasema","inyoensis","","(Girault)","1916","1916"
"Brasema","inyoensis","","(Girault)","Eupelmus","inyoensis","","Girault","1916","1916"
"Brasema","juglandis","","(Ashmead)","Brasema","juglandis","","(Ashmead)","1894","1894"
"Brasema","juglandis","","(Ashmead)","Eupelmus","juglandis","","Ashmead","1894","1894"
"Brasema","lacinia","","Gibson","Brasema","lacinia","","Gibson","1995","1995"
"Brasema","lamachus","","(Walker)","Brasema","lamachus","","(Walker)","1847","1847"
"Brasema","lamachus","","(Walker)","Eupelmus","lamachus","","Walker","1847","1847"
"Brasema","lambi","","(Girault)","Brasema","lambi","","(Girault)","1915","1915"
"Brasema","lambi","","(Girault)","Eupelmus","lambi","","Girault","1915","1915"
"Brasema","leersiae","","Risbec","Brasema","leersiae","","Risbec","1956","1956"
"Brasema","leersiae","","Risbec","Brasema","leersiae","garouae","Risbec","1956","1955"
"Brasema","leucothysana","","Gibson","Brasema","leucothysana","","Gibson","1995","1995"
"Brasema","limneriae","","(Howard)","Brasema","limneriae","","(Howard)","1897","1897"
"Brasema","limneriae","","(Howard)","Eupelmus","limneriae","","Howard","1897","1897"
"Brasema","longicauda","","Gibson","Brasema","longicauda","","Gibson","1995","1995"
"Brasema","macrocarpae","","(Ashmead)","Brasema","macrocarpae","","(Ashmead)","1888","1888"
"Brasema","macrocarpae","","(Ashmead)","Eupelmus","macrocarpae","","Ashmead","1888","1888"
"Brasema","maculicornis","","Cameron","Brasema","maculicornis","","Cameron","1905","1905"
"Brasema","maculipennis","","Cameron","Brasema","maculipennis","","Cameron","1905","1905"
"Brasema","mandrakae","","(Risbec)","Cerambycobius","mandrakae","","Risbec","1952","1952"
"Brasema","mawsoni","","(Girault)","Brasema","mawsoni","","(Girault)","1915","1915"
"Brasema","mawsoni","","(Girault)","Eupelmus","mawsoni","","Girault","1915","1915"
"Brasema","mawsoni","","(Girault)","Eupelmus","mawsoni","solis","Girault","1915","1929"
"Brasema","mawsoni","","(Girault)","Eupelmus","mawsoni","solis","Girault","1915","1938"
"Brasema","mawsoni","","(Girault)","Eupelmus","mawsoni","terrae","Girault","1915","1928"
"Brasema","neococcidis","","(Peck)","Brasema","neococcidis","","(Peck)","1951","1951"
"Brasema","neococcidis","","(Peck)","Eupelmus","brevicauda","","Gahan","1951","1910"
"Brasema","neococcidis","","(Peck)","Eupelmus","coccidis","","Girault","1951","1917"
"Brasema","neococcidis","","(Peck)","Eupelmus","neococcidis","","Peck","1951","1951"
"Brasema","neomexicana","","(Girault)","Brasema","neomexicana","","(Girault)","1916","1916"
"Brasema","neomexicana","","(Girault)","Eupelmus","neomexicanus","","Girault","1916","1916"
"Brasema","nigripurpurea","","(Girault)","Anastatus","nigripurpureus","","(Girault)","1913","1913"
"Brasema","nigripurpurea","","(Girault)","Brasema","nigripurpurea","","(Girault)","1913","1913"
"Brasema","nigripurpurea","","(Girault)","Ooderelloides","nigripurpurea","","Girault","1913","1913"
"Brasema","peruviana","","(Crawford)","Brasema","peruviana","","(Crawford)","1912","1912"
"Brasema","peruviana","","(Crawford)","Cerambycobius","peruvianus","","Crawford","1912","1912"
"Brasema","peruviana","","(Crawford)","Eupelmus","peruvianus","","(Crawford)","1912","1912"
"Brasema","planivertex","","(Girault)","Brasema","planivertex","","(Girault)","1925","1925"
"Brasema","planivertex","","(Girault)","Eupelmus","planivertex","","Girault","1925","1925"
"Brasema","proxima","","(Ashmead)","Brasema","proximus","","(Ashmead)","1904","1904"
"Brasema","proxima","","(Ashmead)","Eupelmus","proximus","","Ashmead","1904","1904"
"Brasema","rara","","(Kalina)","Anickia","rara","","Kalina","1984","1984"
"Brasema","rara","","(Kalina)","Brasema","rara","","(Kalina)","1984","1984"
"Brasema","rhadinosa","","Gibson","Brasema","rhadinosa","","Gibson","1995","1995"
"Brasema","rosae","","(Ashmead)","Brasema","rosae","","(Ashmead)","1882","1882"
"Brasema","rosae","","(Ashmead)","Eupelmus","rosae","","Ashmead","1882","1882"
"Brasema","schizomorpha","","Gibson","Brasema","schizomorpha","","Gibson","1995","1995"
"Brasema","seyrigi","","(Risbec)","Brasema","seyrigi","","(Risbec)","1952","1952"
"Brasema","seyrigi","","(Risbec)","Calosoter","seyrigi","","Risbec","1952","1952"
"Brasema","silvai","","(BrŠthes)","Brasema","silvai","","(BrŠthes)","1917","1917"
"Brasema","silvai","","(BrŠthes)","Calosota","silvai","","(BrŠthes)","1917","1917"
"Brasema","silvai","","(BrŠthes)","Calosoter","silvai","","BrŠthes","1917","1917"
"Brasema","speciosa","","(Girault)","Brasema","speciosa","","(Girault)","1916","1916"
"Brasema","speciosa","","(Girault)","Eupelmus","speciosus","","Girault","1916","1916"
"Brasema","sphaericephalus","","(Ashmead)","Brasema","sphaericephalus","","(Ashmead)","1886","1886"
"Brasema","sphaericephalus","","(Ashmead)","Eupelmus","sphaericephalus","","Ashmead","1886","1886"
"Brasema","stenus","","(Boucek)","Brasema","ephedricola","","Askew","1968","1998"
"Brasema","stenus","","(Boucek)","Brasema","stenus","","(Boucek)","1968","1968"
"Brasema","stenus","","(Boucek)","Eupelmus","stenus","","Boucek","1968","1968"
"Brasema","sulcata","","(Ashmead)","Brasema","sulcata","","(Ashmead)","1900","1900"
"Brasema","sulcata","","(Ashmead)","Eupelmus","sulcatus","","Ashmead","1900","1900"
"Brasema","willei","","(BrŠthes)","Brasema","willei","","(BrŠthes)","1927","1927"
"Brasema","willei","","(BrŠthes)","Tropimius","willei","","BrŠthes","1927","1927"
"Brevivulva","electroma","","Gibson","Brevivulva","electroma","","Gibson","2009","2009"
"Bruchocida","pilosa","!","Risbec","Bruchocida","pilosa","","Risbec","",""
"Calosota","acron","","(Walker)","Calosota","acron","","(Walker)","1848","1848"
"Calosota","acron","","(Walker)","Calosota","anguinalis","","Ruschka","1848","1921"
"Calosota","acron","","(Walker)","Calosota","pseudotsugae","","Burks","1848","1973"
"Calosota","acron","","(Walker)","Eupelmus","acron","","Walker","1848","1848"
"Calosota","acron","","(Walker)","Trigonoderus","contractus","","Walker","1848","1872"
"Calosota","aestivalis","","Curtis","Calosota","aestivalis","","Curtis","1836","1836"
"Calosota","aestivalis","","Curtis","Calosota","fumipennis","","Bolivar y Pieltain","1836","1923"
"Calosota","aestivalis","","Curtis","Calosota","kentra","","Burks","1836","1973"
"Calosota","aestivalis","","Curtis","Calosota","montana","","Burks","1836","1973"
"Calosota","aestivalis","","Curtis","Calosota","septentrionalis","","Hedqvist","1836","1956"
"Calosota","aestivalis","","Curtis","Calosoter","vernalis","","Walker","1836","1837"
"Calosota","affinis","","Hedqvist","Calosota","affinis","","Hedqvist","1970","1970"
"Calosota","agrili","","Nikol'skaya","Calosota","agrili","","Nikol'skaya","1952","1952"
"Calosota","albipalpus","","Gibson","Calosota","albipalpus","","Gibson","2010","2010"
"Calosota","ariasi","","Bolivar y Pieltain","Calosota","ariasi","","Bolivar y Pieltain","1929","1929"
"Calosota","aristidae","","(Risbec)","Calosoter","aristidae","","Risbec","1951","1951"
"Calosota","beharae","","(Risbec)","Calosoter","beharae","","Risbec","1952","1952"
"Calosota","bicolorata","","Gibson","Calosota","bicolorata","","Gibson","2010","2010"
"Calosota","bolivari","","Askew","Calosota","bolivari","","Askew","2006","2006"
"Calosota","capensis","","Hedqvist","Calosota","capensis","","Hedqvist","1970","1970"
"Calosota","cecidobius","","(Kieffer)","Calosota","cecidobius","","(Kieffer)","1910","1910"
"Calosota","cecidobius","","(Kieffer)","Calosoter","cecidobius","","Kieffer","1910","1910"
"Calosota","charitolophoides","","(Girault)","Calosota","charitolophoides","","(Girault)","1915","1915"
"Calosota","charitolophoides","","(Girault)","Eupelmus","charitolophoides","","Girault","1915","1915"
"Calosota","conifera","","Yang","Calosota","conifera","","Yang","1996","1996"
"Calosota","cryphali","","Yang","Calosota","cryphali","","Yang","1996","1996"
"Calosota","curculionis","","(Risbec)","Calosota","curculionis","","(Risbec)","1951","1951"
"Calosota","curculionis","","(Risbec)","Polymoria","curculionis","","Risbec","1951","1951"
"Calosota","cyanea","","Hedqvist","Calosota","cyanea","","Hedqvist","1970","1970"
"Calosota","dusmeti","","Bolivar y Pieltain","Calosota","dusmeti","","Bolivar y Pieltain","1929","1929"
"Calosota","elongata","","Gibson","Calosota","elongata","","Gibson","2010","2010"
"Calosota","ferrierei","","Hedqvist","Calosota","ferrierei","","Hedqvist","1970","1970"
"Calosota","flavostylus","","Hedqvist","Calosota","flavostylus","","Hedqvist","1970","1970"
"Calosota","frequens","","(Masi)","Calosota","frequens","","(Masi)","1917","1917"
"Calosota","frequens","","(Masi)","Metacalosoter","frequens","","Masi","1917","1917"
"Calosota","grylli","","Erd”s","Calosota","grylli","","Erd”s","1955","1955"
"Calosota","halyomorphae","","(Risbec)","Calosota","halyomorphae","","(Risbec)","1951","1951"
"Calosota","halyomorphae","","(Risbec)","Polymoria","halyomorphae","","Risbec","1951","1951"
"Calosota","herodoti","","Girault","Calosota","herodoti","","Girault","1934","1934"
"Calosota","hirsutioculus","","(Girault)","Calosota","hirsutioculus","","(Girault)","1925","1925"
"Calosota","hirsutioculus","","(Girault)","Eupelmus","hirsutioculus","","Girault","1925","1925"
"Calosota","hyalina","","(Hedqvist)","Calosota","hyalinus","","(Hedqvist)","1970","1970"
"Calosota","hyalina","","(Hedqvist)","Chirolophus","hyalinus","","Hedqvist","1970","1970"
"Calosota","hyalina","","(Hedqvist)","Pentacladia","hyalinus","","(Hedqvist)","1970","1970"
"Calosota","idukkiensis","","Narendran & Bijoy","Calosota","idukkiensis","","Narendran & Bijoy","2013","2013"
"Calosota","incognita","","Nikol'skaya","Calosota","incognita","","Nikol'skaya","1952","1952"
"Calosota","iochroma","","Narendran","Calosota","iochroma","","Narendran","2013","2013"
"Calosota","koraiensis","","Yang","Calosota","koraiensis","","Yang","1996","1996"
"Calosota","kottiyoorica","","Narendran & Anitha","Calosota","kottiyoorica","","Narendran & Anitha","2004","2004"
"Calosota","ligniphila","","(Risbec)","Calosota","ligniphila","","(Risbec)","1952","1952"
"Calosota","ligniphila","","(Risbec)","Cerambycobius","ligniphila","","Risbec","1952","1952"
"Calosota","ligniphila","","(Risbec)","Eupelmus","ligniphila","","(Risbec)","1952","1952"
"Calosota","longigasteris","","Yang","Calosota","longigasteris","","Yang","1996","1996"
"Calosota","longivena","","Gibson","Calosota","longivena","","Gibson","2010","2010"
"Calosota","longiventris","","(Ashmead)","Calosota","longiventris","","(Ashmead)","1896","1896"
"Calosota","longiventris","","(Ashmead)","Calosoter","longiventris","","Ashmead","1896","1896"
"Calosota","mateui","","FerriŠre","Calosota","mateui","","FerriŠre","1966","1966"
"Calosota","metallica","","(Gahan)","Calosota","coerulea","","Nikol'skaya","1922","1952"
"Calosota","metallica","","(Gahan)","Calosota","matritensis","","Bolivar y Pieltain","1922","1929"
"Calosota","metallica","","(Gahan)","Calosota","metallica","","(Gahan)","1922","1922"
"Calosota","metallica","","(Gahan)","Calosota","viridis","","Masi","1922","1922"
"Calosota","metallica","","(Gahan)","Calosoter","metallicus","","Gahan","1922","1922"
"Calosota","microspermae","","Yang","Calosota","microspermae","","Yang","1996","1996"
"Calosota","modesta","","Bolivar y Pieltain","Calosota","modesta","","Bolivar y Pieltain","1929","1929"
"Calosota","nitens","","Askew","Calosota","nitens","","Askew","2006","2006"
"Calosota","obscura","","Ruschka","Calosota","lixobia","","Erd”s","1921","1946"
"Calosota","obscura","","Ruschka","Calosota","lixobia","hyperparasita","Erd”s","1921","1946"
"Calosota","obscura","","Ruschka","Calosota","obscura","","Ruschka","1921","1921"
"Calosota","pagana","","(Girault)","Calosota","pagana","","(Girault)","1915","1915"
"Calosota","pagana","","(Girault)","Eupelmus","paganus","","Girault","1915","1915"
"Calosota","panamaensis","","Gibson","Calosota","panamaensis","","Gibson","2010","2010"
"Calosota","parva","","Girault","Calosota","parva","","Girault","1932","1932"
"Calosota","plutarchi","","Girault","Calosota","plutarchi","","Girault","1932","1932"
"Calosota","pumilae","","Yang","Calosota","pumilae","","Yang","1996","1996"
"Calosota","punctata","","Hedqvist","Calosota","punctata","","Hedqvist","1970","1970"
"Calosota","purpurata","","Hedqvist","Calosota","purpurata","","Hedqvist","1970","1970"
"Calosota","qilianshanensis","","Yang","Calosota","qilianshanensis","","Yang","1996","1996"
"Calosota","risbeci","","Boucek","Calosota","risbeci","","Boucek","1976","1976"
"Calosota","risbeci","","Boucek","Oodera","viridis","","Risbec","1976","1952"
"Calosota","risbeci","","Boucek","Ooderella","viridis","","(Risbec)","1976","1952"
"Calosota","robusta","","Hedqvist","Calosota","robusta","","Hedqvist","1970","1970"
"Calosota","saharensis","","FerriŠre","Calosota","saharensis","","FerriŠre","1966","1966"
"Calosota","setosa","","Gibson","Calosota","setosa","","Gibson","2010","2010"
"Calosota","shyama","","Narendran","Calosota","shyama","","Narendran","1996","1996"
"Calosota","sinensis","","FerriŠre","Calosota","sinensis","","FerriŠre","1935","1935"
"Calosota","speculifrons","","Gibson","Calosota","speculifrons","","Gibson","2010","2010"
"Calosota","stenogastra","","Masi","Calosota","stenogastra","","Masi","1927","1927"
"Calosota","stoma","","Narendran","Calosota","stoma","","Narendran","2007","2007"
"Calosota","subaenea","","Masi","Calosota","subaenea","","Masi","1924","1924"
"Calosota","subulata","","(Swederus)","Pteromalus","subulatus","","Swederus","1795","1795"
"Calosota","testaceipes","","Hedqvist","Calosota","testaceipes","","Hedqvist","1970","1970"
"Calosota","tullii","","Girault","Calosota","tullii","","Girault","1934","1934"
"Calosota","turneri","","Hedqvist","Calosota","turneri","","Hedqvist","1970","1970"
"Calosota","varipunctata","","Girault","Calosota","varipunctata","","Girault","1932","1932"
"Calosota","vernalis","","Curtis","Calosota","vernalis","","Curtis","1836","1836"
"Calosota","vernalis","","Curtis","Calosoter","aestivalis","","Walker","1836","1837"
"Calosota","versicolor","","(Risbec)","Calosoter","versicolor","","Risbec","1951","1951"
"Calosota","violascens","","Masi","Calosota","violascens","","Masi","1922","1922"
"Calosota","worcesteri","","(Girault)","Anastatus","worcesteri","","(Girault)","1915","1915"
"Calosota","worcesteri","","(Girault)","Calosota","worcesteri","","(Girault)","1915","1915"
"Calosota","worcesteri","","(Girault)","Eupelmus","worcesteri","","Girault","1915","1915"
"Calosota","yanglingensis","","Yang","Calosota","yanglingensis","","Yang","1996","1996"
"Calymmochilus","delphinus","","Askew","Calymmochilus","delphinus","","Askew","2004","2004"
"Calymmochilus","dispar","","Boucek & Andriescu","Calymmochilus","dispar","","Boucek & Andriescu","1967","1967"
"Calymmochilus","longbottomi","","Gibson","Calymmochilus","longbottomi","","Gibson","1998","1998"
"Calymmochilus","longifasciatipennis","","(Girault)","Calymmochilus","longifasciatipennis","","(Girault)","1923","1923"
"Calymmochilus","longifasciatipennis","","(Girault)","Eupelmus","longifasciatipennis","","Girault","1923","1923"
"Calymmochilus","longifasciatipennis","","(Girault)","Tasmanastatus","longifasciatipennis","","(Girault)","1923","1923"
"Calymmochilus","marksae","","Boucek","Calymmochilus","marksae","","Boucek","1988","1988"
"Calymmochilus","nilamburicus","","Narendran","Calymmochilus","nilamburicus","","Narendran","1996","1996"
"Calymmochilus","planus","","(Boucek)","Calymmochilus","planus","","(Boucek)","1988","1988"
"Calymmochilus","planus","","(Boucek)","Tasmanastatus","planus","","Boucek","1988","1988"
"Calymmochilus","russoi","","Gibson","Calymmochilus","russoi","","Gibson","1995","1995"
"Calymmochilus","scaposus","","(Boucek)","Calymmochilus","scaposus","","(Boucek)","1988","1988"
"Calymmochilus","scaposus","","(Boucek)","Tasmanastatus","scaposus","","Boucek","1988","1988"
"Calymmochilus","subnubilus","","(Walker)","Calymmochilus","atratus","","Masi","1872","1919"
"Calymmochilus","subnubilus","","(Walker)","Calymmochilus","subnubilus","","(Walker)","1872","1872"
"Calymmochilus","subnubilus","","(Walker)","Eupelmus","subnubilus","","Walker","1872","1872"
"Cervicosus","spinosus","","Gibson","Cervicosus","spinosus","","Gibson","1995","1995"
"Coryptilus","indicus","","Gibson","Coryptilus","indicus","","Gibson","1995","1995"
"Ecnomocephala","townesi","","Gibson","Ecnomocephala","townesi","","Gibson","1995","1995"
"Enigmapelma","longicollis","","(Risbec)","Anastatus","longicollis","","Risbec","1952","1952"
"Enigmapelma","longicollis","","(Risbec)","Enigmapelma","longicollis","","(Risbec)","1952","1952"
"Eopelma","mystax","","Gibson","Eopelma","mystax","","Gibson","1989","1989"
"Eueupelmus","cornutus","","Girault","Eueupelmus","cornutus","","Girault","1931","1931"
"Eupelmis","acaudus","!","","Eupelmis","acaudus","","","",""
"Eupelmus","achreiodes","","Perkins","Eupelmus","achreiodes","","Perkins","1910","1910"
"Eupelmus","acinellus","","Askew","Eupelmus","acinellus","","Askew","2009","2009"
"Eupelmus","aereiclavus","","Girault","Eupelmus","aereiclavus","","Girault","1925","1925"
"Eupelmus","aeschyli","","(Girault)","Anastatus","aeschyli","","Girault","1922","1921"
"Eupelmus","aeschyli","","(Girault)","Eupelmus","aeschyli","","(Girault)","1922","1922"
"Eupelmus","aeschyli","","(Girault)","Eupelmus","aeschyli","","Girault","1922","1922"
"Eupelmus","aesopi","","Girault","Eupelmus","aesopi","","Girault","1921","1921"
"Eupelmus","afer","","Silvestri","Eupelmus","afer","","Silvestri","1914","1914"
"Eupelmus","africanus","","Kalina","Eupelmus","africanus","","Kalina","1988","1988"
"Eupelmus","albipes","","Girault","Eupelmus","albipes","","Girault","1915","1915"
"Eupelmus","albitarsis","","(BrŠthes)","Rafa","albitarsis","","BrŠthes","1916","1916"
"Eupelmus","albohirtus","","(Hedqvist)","Eupelmella","albohirta","","Hedqvist","1970","1970"
"Eupelmus","algiricus","","(Kalina)","Macroneura","algirica","","Kalina","1988","1981"
"Eupelmus","algiricus","","Kalina","Eupelmus","algiricus","","Kalina","1988","1988"
"Eupelmus","alhazeni","","Girault","Eupelmus","alhazeni","","Girault","1918","1918"
"Eupelmus","amaurodes","","Perkins","Eupelmus","amaurodes","","Perkins","1910","1910"
"Eupelmus","americanus","","Spinola","Eupelmus","americanus","","Spinola","1853","1853"
"Eupelmus","amillarus","","Walker","Eupelmus","amillarus","","Walker","1838","1838"
"Eupelmus","amorphococci","!","Ashmead","Eupelmus","amorphococci","","Ashmead","",""
"Eupelmus","amphitus","","Walker","Eupelmus","amphitus","","Walker","1846","1846"
"Eupelmus","annulatus","","Nees","Eupelmus","annulatus","","Nees","1834","1834"
